iso_code,year,hot_days
AUT,1992,6.95
AUT,1993,2.23
AUT,1994,6.64
AUT,1995,2.41
AUT,1996,0.5
AUT,1997,0.32
AUT,1998,4.12
AUT,1999,1.17
AUT,2000,4.58
AUT,2001,3.15
AUT,2002,3.29
AUT,2003,11.08
AUT,2004,1.37
AUT,2005,2.51
AUT,2006,4.67
AUT,2007,5.44
AUT,2008,2.01
AUT,2009,2.11
AUT,2010,4.53
AUT,2011,4.02
AUT,2012,6.72
AUT,2013,9.23
AUT,2014,2.3
AUT,2015,14.04
AUT,2016,2.25
AUT,2017,7.6
AUT,2018,5.87
AUT,2019,8.29
AUT,2020,3.32
AUT,2021,4.44
AUT,2022,6.71
AUT,2023,7.75
BEL,1992,1.03
BEL,1993,0.12
BEL,1994,6.06
BEL,1995,6.76
BEL,1996,0.94
BEL,1997,1.68
BEL,1998,3.48
BEL,1999,0.45
BEL,2000,1.21
BEL,2001,3.72
BEL,2002,3.17
BEL,2003,9.58
BEL,2004,1.26
BEL,2005,4.78
BEL,2006,6.86
BEL,2007,0.41
BEL,2008,0.49
BEL,2009,2.07
BEL,2010,4.06
BEL,2011,1.82
BEL,2012,2.12
BEL,2013,4.21
BEL,2014,1.28
BEL,2015,5.93
BEL,2016,5.41
BEL,2017,4.04
BEL,2018,7.6
BEL,2019,8.51
BEL,2020,10.77
BEL,2021,0.58
BEL,2022,8.36
BEL,2023,2.86
CAN,1992,0.7
CAN,1993,0.44
CAN,1994,1.06
CAN,1995,1.94
CAN,1996,1.28
CAN,1997,1.05
CAN,1998,1.89
CAN,1999,0.98
CAN,2000,0.69
CAN,2001,2.04
CAN,2002,2.19
CAN,2003,2.35
CAN,2004,0.63
CAN,2005,2.13
CAN,2006,1.89
CAN,2007,2.54
CAN,2008,1.05
CAN,2009,1.01
CAN,2010,0.81
CAN,2011,1.16
CAN,2012,1.88
CAN,2013,1.5
CAN,2014,1.15
CAN,2015,1.36
CAN,2016,0.92
CAN,2017,1.62
CAN,2018,2.66
CAN,2019,0.9
CAN,2020,2.24
CAN,2021,4.59
CAN,2022,2.17
CAN,2023,2.66
CHE,1992,1.72
CHE,1993,0.19
CHE,1994,1.33
CHE,1995,0.92
CHE,1996,0.01
CHE,1997,0
CHE,1998,2.28
CHE,1999,0.21
CHE,2000,0.25
CHE,2001,0.14
CHE,2002,0.97
CHE,2003,7.47
CHE,2004,0.07
CHE,2005,1.45
CHE,2006,2.35
CHE,2007,0.61
CHE,2008,0.15
CHE,2009,1.13
CHE,2010,1.65
CHE,2011,1.67
CHE,2012,1.54
CHE,2013,3.07
CHE,2014,0.99
CHE,2015,6.5
CHE,2016,1.76
CHE,2017,2.77
CHE,2018,3.58
CHE,2019,4.75
CHE,2020,1.91
CHE,2021,0.43
CHE,2022,4.73
CHE,2023,4.6
DEU,1992,6.17
DEU,1993,0.6
DEU,1994,12.23
DEU,1995,6.18
DEU,1996,1.34
DEU,1997,2.57
DEU,1998,5.34
DEU,1999,2.47
DEU,2000,3.49
DEU,2001,4.47
DEU,2002,3.95
DEU,2003,14.42
DEU,2004,1.77
DEU,2005,4.27
DEU,2006,9.66
DEU,2007,2.61
DEU,2008,4.04
DEU,2009,2.14
DEU,2010,8.11
