iso_code,country,year,ratio_type,age,dep_percent
AUT,Austria,1992,DEPEND_RATIO_OLD,Y_GE65,24.357
AUT,Austria,1993,DEPEND_RATIO_OLD,Y_GE65,24.343
AUT,Austria,1994,DEPEND_RATIO_OLD,Y_GE65,24.476
AUT,Austria,1995,DEPEND_RATIO_OLD,Y_GE65,24.679
AUT,Austria,1996,DEPEND_RATIO_OLD,Y_GE65,24.864
AUT,Austria,1997,DEPEND_RATIO_OLD,Y_GE65,25.013
AUT,Austria,1998,DEPEND_RATIO_OLD,Y_GE65,25.117
AUT,Austria,1999,DEPEND_RATIO_OLD,Y_GE65,25.133
AUT,Austria,2000,DEPEND_RATIO_OLD,Y_GE65,25.093
AUT,Austria,2001,DEPEND_RATIO_OLD,Y_GE65,25.059
AUT,Austria,2002,DEPEND_RATIO_OLD,Y_GE65,24.935
AUT,Austria,2003,DEPEND_RATIO_OLD,Y_GE65,24.83
AUT,Austria,2004,DEPEND_RATIO_OLD,Y_GE65,25.281
AUT,Austria,2005,DEPEND_RATIO_OLD,Y_GE65,26.263
AUT,Austria,2006,DEPEND_RATIO_OLD,Y_GE65,27.053
AUT,Austria,2007,DEPEND_RATIO_OLD,Y_GE65,27.719
AUT,Austria,2008,DEPEND_RATIO_OLD,Y_GE65,28.084
AUT,Austria,2009,DEPEND_RATIO_OLD,Y_GE65,28.537
AUT,Austria,2010,DEPEND_RATIO_OLD,Y_GE65,28.75
AUT,Austria,2011,DEPEND_RATIO_OLD,Y_GE65,28.578
AUT,Austria,2012,DEPEND_RATIO_OLD,Y_GE65,29.054
AUT,Austria,2013,DEPEND_RATIO_OLD,Y_GE65,29.427
AUT,Austria,2014,DEPEND_RATIO_OLD,Y_GE65,29.77
AUT,Austria,2015,DEPEND_RATIO_OLD,Y_GE65,29.891
AUT,Austria,2016,DEPEND_RATIO_OLD,Y_GE65,29.904
AUT,Austria,2017,DEPEND_RATIO_OLD,Y_GE65,30.074
AUT,Austria,2018,DEPEND_RATIO_OLD,Y_GE65,30.377
AUT,Austria,2019,DEPEND_RATIO_OLD,Y_GE65,30.721
AUT,Austria,2020,DEPEND_RATIO_OLD,Y_GE65,31.151
AUT,Austria,2021,DEPEND_RATIO_OLD,Y_GE65,31.575
AUT,Austria,2022,DEPEND_RATIO_OLD,Y_GE65,31.914
AUT,Austria,2023,DEPEND_RATIO_OLD,Y_GE65,32.357
AUT,Austria,2024,DEPEND_RATIO_OLD,Y_GE65,33.054
BEL,Belgium,1992,DEPEND_RATIO_OLD,Y_GE65,25.386
BEL,Belgium,1993,DEPEND_RATIO_OLD,Y_GE65,25.678
BEL,Belgium,1994,DEPEND_RATIO_OLD,Y_GE65,26.01
BEL,Belgium,1995,DEPEND_RATIO_OLD,Y_GE65,26.463
BEL,Belgium,1996,DEPEND_RATIO_OLD,Y_GE65,26.953
BEL,Belgium,1997,DEPEND_RATIO_OLD,Y_GE65,27.386
BEL,Belgium,1998,DEPEND_RATIO_OLD,Y_GE65,27.732
BEL,Belgium,1999,DEPEND_RATIO_OLD,Y_GE65,27.984
BEL,Belgium,2000,DEPEND_RATIO_OLD,Y_GE65,28.177
BEL,Belgium,2001,DEPEND_RATIO_OLD,Y_GE65,28.317
BEL,Belgium,2002,DEPEND_RATIO_OLD,Y_GE65,28.433
